Na(1);330.237;0.0281;30272.58;1.5
Na(1);330.298;0.0281;30266.99;0.5
Na(1);588.995;0.616;16973.368;1.5
Na(1);589.5924;0.614;16956.172;0.5
Na(1);818.3256;0.453;29172.889;1.5
Na(1);819.4824;0.54;29172.839;2.5
Na(1);1138.145;0.09;25739.991;0.5
Na(1);1140.378;0.176;25739.991;0.5
Na(1);1846.525;0.14;34586.92;3.5
Na(2);309.273;NaN;297248.82;3
Na(2);328.56;NaN;299189.96;2
Mg(1);202.5824;0.612;49346.729;1
Mg(1);277.982;1.31;57833.4;1
Mg(1);277.9834;3.92;57873.94;2
Mg(1);285.2125;5;35051.264;1
Mg(1);382.9355;0.94;47957.058;1
Mg(1);383.23;1.27;47957.027;2
Mg(1);383.8292;1.68;47957.045;3
Mg(1);516.7322;0.116;41197.403;1
Mg(1);517.2684;0.346;41197.403;1
Mg(1);518.3604;0.575;41197.403;1
Mg(1);1182.817;0.26;43503.333;0
Mg(1);1502.5;0.139;47851.162;2
Mg(2);279.0777;4;71491.06;1.5
Mg(2);279.553;2.6;35760.88;1.5
Mg(2);279.7998;4.8;71490.19;2.5
Mg(2);280.2706;2.6;35669.31;0.5
Mg(2);448.1126;2.23;93799.75;3.5
Mg(2);448.1325;2.08;93799.63;2.5
Al(1);226.9096;0.691;44168.847;2.5
Al(1);236.7052;0.628;42233.742;1.5
Al(1);237.3124;0.748;42237.783;2.5
Al(1);257.5094;0.226;38933.968;2.5
Al(1);308.2153;0.622;32435.453;1.5
Al(1);309.271;0.738;32436.796;2.5
Al(1);309.2839;0.123;32435.453;1.5
Al(1);394.4006;0.498;25347.756;0.5
Al(1);396.152;0.982;25347.756;0.5
Al(2);281.6185;3.83;95350.6;0
Al(2);466.3056;0.53;106920.56;1
Al(2);624.336;1.1;121483.5;3
Si(1);205.8132;NaN;54871.027;1
Si(1);220.7978;0.262;45293.623;2
Si(1);221.0894;0.345;45293.623;2
Si(1);221.1744;0.181;45276.187;1
Si(1);221.6669;0.454;45321.848;3
Si(1);221.8057;0.109;45293.623;2
Si(1);250.6897;0.547;39955.051;2
Si(1);251.4316;0.74;39760.285;1
Si(1);251.6112;1.68;39955.051;2
Si(1);251.9202;0.549;39760.285;1
Si(1);252.4108;2.22;39683.158;0
Si(1);252.8509;0.904;39760.285;1
Si(1);288.1577;1.89;40991.888;1
Si(1);594.8545;0.022;57798.08;2
Si(1);728.9173;NaN;59037.043;4
Si(1);740.5774;0.037;58775.442;2
Si(1);742.3497;NaN;58788.878;4
Si(1);1198.4201;NaN;48102.321;2
Si(1);1203.1503;NaN;48264.29;3
Si(2);385.6017;NaN;81251.32;1.5
Si(2);412.8067;NaN;103556.16;2.5
Si(2);413.0893;NaN;103556.03;3.5
Si(2);504.1026;0.98;101023.05;1.5
Si(2);505.5981;1.26;101024.35;2.5
Si(2);566.9562;0.5;132162.29;3.5
Si(2);634.7103;0.66;81251.32;1.5
Si(2);637.1359;0.77;81191.34;0.5
P(1);213.5465;0.211;58174.366;1.5
P(1);213.6182;2.83;58174.366;1.5
P(1);214.9145;3.18;57876.574;0.5
P(1);215.294;0.485;65156.242;1.5
P(1);215.408;0.58;65157.126;2.5
P(1);253.3987;0.2;58174.366;1.5
P(1);253.3606;0.95;58174.366;1.5
P(1);255.3253;0.71;57876.574;0.5
P(1);952.573;0.18;66834.648;1.5
P(1);954.518;NaN;66813.271;1.5
P(1);956.3439;NaN;66544.243;2.5
P(1);973.475;NaN;66360.282;1.5
P(1);975.077;0.24;66343.438;0.5
P(1);979.685;0.21;66544.243;2.5
P(2);458.804;1.7;125128.87;3
P(2);458.986;1.6;124946.73;2
P(2);460.208;1.9;125391.13;4
P(2);602.418;0.51;103339.14;2
P(2);604.312;0.68;103667.86;3
P(2);645.999;NaN;103667.86;3
P(2);650.346;NaN;103339.14;2
P(2);650.797;NaN;103165.61;1
S(1);921.2865;0.3;63475.051;3
S(1);922.8092;0.28;63457.142;2
S(1);923.7538;0.28;63446.065;1
S(1);1045.5451;0.22;64892.582;2
S(1);1045.6757;0.22;64891.386;0
S(1);1045.9406;0.22;64888.964;1
S(2);542.8667;0.42;127976.34;1.5
S(2);543.2815;0.68;128233.2;2.5
S(2);545.3828;0.85;128599.16;3.5
S(2);547.362;0.73;127825.08;0.5
S(2);550.9718;0.4;127976.34;1.5
S(2);560.6151;0.54;128599.16;3.5
S(2);563.9972;0.66;131187.19;2.5
S(2);757.8909;NaN;140319.23;3.5
S(2);762.974;NaN;140230.1;2.5
S(2);796.7371;0.08;125485.29;0.5
S(2);831.4594;0.16;125485.29;0.5
Cl(1);754.7072;0.12;85735.091;1.5
Cl(1);774.497;0.063;85735.091;1.5
Cl(1);821.2038;NaN;84132.262;2.5
Cl(1);822.1742;NaN;84648.1;2.5
Cl(1);833.3307;NaN;84485.309;1.5
Cl(1);837.594;NaN;83894.037;3.5
Cl(1);842.8254;NaN;84688.637;0.5
Cl(1);857.524;NaN;84485.309;1.5
Cl(1);858.597;NaN;84132.262;2.5
Cl(2);385.0991;1.8;154623.57;3
Cl(2);385.1373;1.6;154620.97;2
Cl(2);386.083;NaN;154624.66;4
Cl(2);413.2498;1.6;153258.61;2
Cl(2);479.455;1.04;128730.82;3
Cl(2);481.006;0.99;128663.57;2
Cl(2);489.677;NaN;147200.24;4
Cl(2);490.4776;0.81;147127.57;3
Cl(2);491.7731;0.75;147055.61;2
Cl(2);507.8264;0.77;146470.64;3
Cl(2);521.794;NaN;131768.66;2
Cl(2);522.1355;NaN;131756.12;1
Cl(2);539.2119;1;147607.37;3
Cl(2);542.323;NaN;128730.82;3
Cl(2);544.337;NaN;128663.57;2
Ar(1);696.5431;0.067;107496.4219;1
Ar(1);706.7218;0.0395;107289.7054;2
Ar(1);750.3869;0.472;108722.6247;0
Ar(1);763.5106;0.274;106237.5571;2
Ar(1);794.8176;0.196;107131.7139;1
Ar(1);800.6157;0.049;106237.5571;2
Ar(1);801.4786;0.0928;105617.2753;2
Ar(1);810.3693;0.25;106087.2651;1
Ar(1);811.5311;0.331;105462.7649;3
Ar(1);912.2967;0.189;104102.1043;1
Ar(1);965.7786;0.0543;104102.1043;1
Ar(2);427.7528;0.8;172213.88;1.5
Ar(2);434.8064;1.17;157234.02;3.5
Ar(2);460.9567;0.789;170530.4041;3.5
Ar(2);472.6868;0.588;159393.385;1.5
Ar(2);476.4865;0.64;160239.428;1.5
Ar(2);480.602;0.78;155043.1622;2.5
Ar(2);487.9864;0.823;158730.2997;2.5
K(1);404.414;0.0116;24720.139;1.5
K(1);404.721;0.0107;24701.382;0.5
K(1);766.4899;0.379;13042.876;1.5
K(1);769.8965;0.374;12985.17;0.5
K(1);1169.021;0.22;21536.988;1.5
K(1);1176.962;0.0434;21536.988;1.5
K(1);1177.283;0.259;21534.68;2.5
Ca(1);272.1645;0.0027;36731.615;1
Ca(1);422.6727;2.2;23652.304;1
Ca(1);442.5441;0.498;37748.197;1
Ca(1);443.496;0.67;37751.867;2
Ca(1);443.5688;0.342;37748.197;1
Ca(1);445.4781;0.87;37757.449;3
Ca(1);445.5887;0.2;37751.867;2
Ca(1);445.6605;NaN;37748.197;1
Ca(1);558.8757;0.49;38259.124;3
Ca(1);610.2722;0.096;31539.495;1
Ca(1);612.2219;0.287;31539.495;1
Ca(1);616.2172;0.354;31539.495;1
Ca(1);643.9073;0.53;35896.889;4
Ca(1);646.2566;0.47;35818.713;3
Ca(1);649.378;0.44;35730.454;2
Ca(1);657.2777;NaN;15210.063;1
Ca(2);315.8869;3.1;56839.25;1.5
Ca(2);317.9332;3.6;56858.46;2.5
Ca(2);370.6026;0.88;52166.93;0.5
Ca(2);373.6901;1.7;52166.93;0.5
Ca(2);393.3661;1.35;25414.4;1.5
Ca(2);396.8467;1.32;25191.51;0.5
Ca(2);854.2089;NaN;25414.4;1.5
Ca(2);866.214;NaN;25191.51;0.5
Sc(1);326.9897;3.13;30573.17;0.5
Sc(1);327.3628;2.81;30706.66;1.5
Sc(1);390.7484;1.66;25584.64;2.5
Sc(1);391.1812;1.79;25724.68;3.5
